Crime ID,Month,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
63a9812a9c010756fd0ed7af85860e0af2e91e7bf0c84f31b58f1d36d84a917c,2014-02,-2.596878,51.500424,On or near Coleford Road,E01014688,Bristol 002A,Drugs,Offender given a caution
8149260361ee290f9cf9c06f41357ea6375a66a491f94273f7457cf69eb8bbcc,2014-02,-2.600331,51.506611,On or near Dunmail Road,E01014689,Bristol 002B,Drugs,Under investigation
8fe474507f96c9185ac87b07e4abab8bb04af5835a7a09b8603298c02afaf8cb,2014-02,-2.599081,51.502517,On or near Westleigh Road,E01014689,Bristol 002B,Drugs,Court result unavailable
530d86dd3cf0dd20994a16c246ca0db8b945b31da6b1f953d51b83f6d601a086,2014-02,-2.600331,51.506611,On or near Dunmail Road,E01014689,Bristol 002B,Drugs,Under investigation
d92094781c798ff4302543e766d9dc2c58aba35bbbd9eada4c274aa8641b6423,2014-02,-2.670282,51.489786,On or near Sports/Recreation Area,E01014497,Bristol 003A,Drugs,Offender given a caution
2617ae8e47aaa80aa803162bfbf84d1be2a6fbae8d7d5c7fd4669227c7115f2a,2014-02,-2.670559,51.496888,On or near Henacre Road,E01014498,Bristol 003B,Drugs,Offender given conditional discharge
00aba86dde6bece9909eed49fd74be5dc1a1fcf86ed3bbefb34a41b7381d5192,2014-02,-2.670559,51.496888,On or near Henacre Road,E01014498,Bristol 003B,Drugs,Offender fined
967c20c6930d6378bf14116166c39130b76d3309533809b7c4790f6bc455ccac,2014-02,-2.657708,51.500827,On or near Broadlands Drive,E01014638,Bristol 003C,Drugs,Offender sent to prison
6e374ff87bf5eac0b1ceb84e2aed8af6e227ffb02f29dc2345c3ac3019e04969,2014-02,-2.655841,51.501197,On or near Capel Road,E01014639,Bristol 003D,Drugs,Offender given community sentence
6709dec07539a73fe8e355e513e4fbc1c5d60ea8a14d77bbbd919dd631cb2b3b,2014-02,-2.589967,51.491782,On or near Bishopthorpe Road,E01014636,Bristol 004D,Drugs,Offender given a drugs possession warning
8dd0d4d9553915f3c261e491eaa4363f0baff1101f9df90cc4aeffbcc2f46d77,2014-02,-2.57563,51.49483,On or near Reynold'S Walk,E01014634,Bristol 005B,Drugs,Offender given a caution
146c638956ee75f02956519292391b1327a9d2efbdc7da6d1d18da7dbccb53bb,2014-02,-2.576248,51.492399,On or near Filton Avenue,E01014661,Bristol 005D,Drugs,Offender given a caution
08fecfa359e0fc3afe88fef6060258fc92b2dd898ffde22add4aa7d1533fb612,2014-02,-2.603055,51.493586,On or near Southmead Road,E01014720,Bristol 006C,Drugs,Offender given a caution
5d47a53161b5837abdee71acc3a53009fba8ec34ab37d539e66e9a8c5ed41d2d,2014-02,-2.603055,51.493586,On or near Southmead Road,E01014720,Bristol 006C,Drugs,Court result unavailable
aa1b7988498aa203addef00fc0f043d240e51e3965a4be386ff62475efc4d6b8,2014-02,-2.651527,51.494675,On or near Southside Close,E01014642,Bristol 007B,Drugs,Offender given conditional discharge
4c1ca9e04433a121b3f8e39d0d5321f52c426a9e19282a5259186ce67e6d83db,2014-02,-2.696749,51.498866,On or near Green Lane,E01014496,Bristol 008E,Drugs,Offender sent to prison
831a2eec1910238ba5df3f1f9da4a3c40fe8e7875467133dc6a1273b5246b6b9,2014-02,-2.623736,51.48597,On or near Brainsfield,E01014715,Bristol 009A,Drugs,Offender given community sentence
ab981c42fc41882182eb62e60b5274c81af7446af10add2779742d071f2f9805,2014-02,-2.54336,51.482413,On or near Kite Hay Close,E01014571,Bristol 012A,Drugs,Offender given a drugs possession warning
08780fe82954a10f57d244ccc4aa28636dace7696a79df367d4e5eadc5bebd4b,2014-02,-2.529523,51.496207,On or near Frenchay Park Road,E01014586,Bristol 012C,Drugs,Court result unavailable
01e09e3ee0f1b12ac7c07c3731ccb07f244c2a126f00f91862673dad51eb0a2f,2014-02,-2.541751,51.488796,On or near Kingfisher Drive,E01014587,Bristol 012D,Drugs,Offender given a caution
